Ano;Modalidade;Semestre;Centro;Curso;Turno;Ingressantes;Matriculados;Concluintes;Desligados;Trancados
2019;Presencial;1;CE;Pedagogia;Matutino;49;420;44;19;13
2019;Presencial;1;CE;Pedagogia;Noturno;51;384;30;15;21
2019;Presencial;1;CE;Pedagogia;vespertino;0;186;25;16;7
2019;Presencial;1;CFCH;Arqueologia;Integral;30;120;7;9;12
2019;Presencial;1;CFCH;Ciência Política;Integral;49;180;16;12;7
2019;Presencial;1;CFCH;Ciências Sociais - Bacharelado;vespertino;60;203;7;25;16
2019;Presencial;1;CFCH;Ciências Sociais - Licenciatura;Noturno;0;189;9;28;11
2019;Presencial;1;CFCH;Filosofia - Bacharelado;vespertino;20;73;1;7;6
2019;Presencial;1;CFCH;Filosofia - Licenciatura;vespertino;38;137;2;19;7
2019;Presencial;1;CFCH;Geografia - Bacharelado;Noturno;0;6;1;4;2
2019;Presencial;1;CFCH;Geografia - Bacharelado;vespertino;57;224;2;16;15
2019;Presencial;1;CFCH;Geografia - Licenciatura;Matutino;57;227;12;15;11
2019;Presencial;1;CFCH;Geografia - Licenciatura;Noturno;61;238;8;22;12
2019;Presencial;1;CFCH;História - Bacharelado;vespertino;34;126;4;10;6
2019;Presencial;1;CFCH;História - Licenciatura;Noturno;0;213;9;15;11
2019;Presencial;1;CFCH;História - Licenciatura;vespertino;21;97;5;5;4
2019;Presencial;1;CFCH;Museologia;Noturno;26;90;2;9;8
2019;Presencial;1;CFCH;Psicologia;Integral;40;380;32;13;17
2019;Presencial;1;CIn;Ciência da Computação;Integral;54;481;26;27;15
2019;Presencial;1;CIn;Engenharia da Computação;Integral;51;520;17;37;25
2019;Presencial;1;CIn;Sistema de Informação;Integral;36;204;1;7;3
2019;Presencial;1;CIn;Sistema de Informação;vespertino;0;107;19;15;9
2019;Presencial;1;CTG;ABI-Engenharia;Integral;353;375;0;73;2
2019;Presencial;1;CTG;Engenharia Biomédica;Integral;18;113;8;6;6
2019;Presencial;1;CTG;Engenharia Cartográfica e de Agrimensura;Integral;29;113;6;10;8
2019;Presencial;1;CTG;Engenharia Cartográfica e de Agrimensura;Noturno;0;64;3;20;5
2019;Presencial;1;CTG;Engenharia Civil;Integral;0;599;65;31;17
2019;Presencial;1;CTG;Engenharia de Alimentos;Integral;0;96;0;7;7
2019;Presencial;1;CTG;Engenharia de Controle e Automação;Integral;0;171;6;8;12
2019;Presencial;1;CTG;Engenharia de Energia;Integral;0;99;8;8;6
2019;Presencial;1;CTG;Engenharia de Materiais;Integral;0;66;3;8;7
2019;Presencial;1;CTG;Engenharia de Minas;Integral;0;52;2;9;1
2019;Presencial;1;CTG;Engenharia de Produção;Integral;40;211;16;8;9
2019;Presencial;1;CTG;Engenharia Elétrica;Integral;0;338;23;28;15
2019;Presencial;1;CTG;Engenharia Eletrônica;Integral;0;279;10;36;13
2019;Presencial;1;CTG;Engenharia Mecânica;Integral;0;572;50;22;19
2019;Presencial;1;CTG;Engenharia Naval;Integral;0;103;6;3;7
2019;Presencial;1;CTG;Engenharia Química;Integral;0;437;28;15;11
